Unnamed: 0,Unnamed: 1,(108s-1),Levels (cm -1 ),Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,conflict_elem
500,3398.95,0.635,0,4f11(4Iбл15/2)6s1/2,"(15/2,1/2)бл",8,17.0,,
500,3398.95,0.635,29412.38,4f11(4Iбл15/2)6p3/2,"(15/2,3/2)",8,17.0,,
300,3416.44, ,637.4,4f11(4Iбл15/2)6s1/2,"(15/2,1/2)бл",7,15.0,N,Fe
300,3416.44, ,29899.21,4f11(4Iбл15/2)6p3/2,"(15/2,3/2)",7,15.0,N,Fe
200,3453.11, ,637.4,4f11(4Iбл15/2)6s1/2,"(15/2,1/2)бл",7,15.0,N,
200,3453.11, ,29588.49,4f11(4Iбл15/2)6p3/2,"(15/2,3/2)",6,13.0,N,
1000,3456.02, ,0,4f11(4Iбл15/2)6s1/2,"(15/2,1/2)бл",8,17.0,N,Ti
1000,3456.02, ,28926.7,4f11(4Iбл15/2)6p3/2,"(15/2,3/2)",9,19.0,N,Ti
300,3474.25,0.487,637.4,4f11(4Iбл15/2)6s1/2,"(15/2,1/2)бл",7,15.0,,
300,3474.25,0.487,29412.38,4f11(4Iбл15/2)6p3/2,"(15/2,3/2)",8,17.0,,
400,3484.8, ,637.4,4f11(4Iбл15/2)6s1/2,"(15/2,1/2)бл",7,15.0,N,Ti
400,3484.8, ,29325.2, , ,7,15.0,N,Ti
250,3515.56, ,637.4,4f11(4Iбл15/2)6s1/2,"(15/2,1/2)бл",7,15.0,N,Fe
250,3515.56, ,29074.26, , ,6,13.0,N,Fe
200,3748.17, , , , , ,,N,Mn
200,3748.17, , , , , ,,N,Mn
600,3796.75,0.43,0,4f11(4Iбл15/2)6s1/2,"(15/2,1/2)бл",8,17.0,N,Fe
600,3796.75,0.43,26330.85,4f11(4Iбл15/2)6p1/2,"(15/2,1/2)",8,17.0,N,Fe
600,3810.74, ,0,4f11(4Iбл15/2)6s1/2,"(15/2,1/2)бл",8,17.0,N,
600,3810.74, ,26234.19,4f11(4Iбл15/2)6p1/2,"(15/2,1/2)",7,15.0,N,
200,3888.96, ,5849.74,4f11(4Iбл13/2)6s1/2,"(13/2,1/2)бл",6,13.0,N,Mn
200,3888.96, ,31556.3,4f11(4Iбл13/2)6p1/2,"(13/2,1/2)",7,15.0,N,Mn
800,3890.94,0.699,637.4,4f11(4Iбл15/2)6s1/2,"(15/2,1/2)бл",7,15.0,,
800,3890.94,0.699,26330.85,4f11(4Iбл15/2)6p1/2,"(15/2,1/2)",8,17.0,,
300,4045.47, ,0,4f11(4Iбл15/2)6s1/2,"(15/2,1/2)бл",8,17.0,N,K
300,4045.47, ,24712, , ,7,15.0,N,K
