 samples,Si_at%,Al_at%,Fe_at%,Ca_at%,K_at%,Na_at%,Mg_at%,Cr_at%,Cu_at%,Mn_at%,Zn_at%,Ti_at%,Ni_at%,Mo_at%,C_at%,Li_at%,Pb_at%,generated_flag
GBW03116,57.91382305,19.1913623,0.125096,0.7115576,10.70413925,6.2522958,0.07021545,0.0,0.0,0.0,0.0,0.03151055,0.0,0.0,0.0,0.0,0.0,G
GBW03124,52.33865305,20.3947235,1.09114245,0.48007205,5.57094725,15.0099544,0.0,0.0,0.0,0.03650945,0.0,0.07799785,0.0,0.0,0.0,0.0,0.0,G
GBW03130,53.1799778,0.08267755,0.1863216,0.3483289,0.0092207,0.035853,40.7587563,0.0,0.0,0.0010298,0.0,0.0032452,0.0,0.0,0.3945882,0.0,0.0,G
GBW03134,56.7876028,19.32224095,0.0620559,0.42967455,0.10402975,18.24192945,0.0185763,0.0,0.0,0.0,0.0,0.0338903,0.0,0.0,0.0,0.0,0.0,G
GBW070036,4.81524885,81.105889,4.5217625,0.189373,0.89320615,0.05905295,0.1763884,0.0,0.0,0.02330065,0.0,2.94672045,0.0,0.0,0.269059,0.0,0.0,G
GBW070099,37.0620004,13.73504585,8.515762,1.40230735,2.9329673,0.1202016,1.6504369,0.0,0.0,29.58127765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,G
GBW070101,26.04007095,14.71892095,10.827777,1.32245415,2.48791605,0.15587315,2.14698195,0.0,0.0,37.3000058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,G
GBW070159,3.09804025,0.4218684,0.26715995,46.36513,0.0485507,0.0300105,44.7378503,0.0,0.0,0.01879955,0.0,0.01259035,0.0,0.0,0.0,0.0,0.0,G
GBW070171,5.96392235,65.8976886,17.87025145,0.11360195,0.03759815,0.0542678,0.0634467,0.087533,0.0,0.0280516,0.0020558,3.64047885,0.0,0.0,1.24110375,0.0,0.0,G
GBW07103,65.5451474,14.21296425,1.4485391,1.4935824,5.7520866,5.46149205,0.5628579,0.0003781,0.00027075,0.04293525,0.0023256,0.1942883,0.0002166,0.0,0.1800668,0.1020376,0.0008113,G
GBW07105,40.85886445,14.9181502,9.22966895,8.63966385,2.707766,5.99723315,10.60112315,0.0141892,0.0042351,0.13116745,0.01259415,1.63153475,0.0131442,0.0,0.23351665,0.0071497,0.0,G
GBW07106,86.87750285,3.9866674,2.3296432,0.3084935,0.7964211,0.11305665,0.11646525,0.00219545,0.0017328,0.01629155,0.00179075,0.1906992,0.0015599,0.0,0.24916315,0.00831915,0.0,G
GBW07107,57.7338446,21.61948725,5.5741478,0.6254477,5.17254765,0.6598263,2.9205508,0.0111283,0.00386555,0.018449,0.00492005,0.483303,0.0036898,0.0,0.1316605,0.0371317,0.0,G
GBW07111,53.38051805,17.45656635,4.0804666,4.5231571,3.9931863,7.02252635,3.7458557,0.00381615,0.00069825,0.07045865,0.0069863,0.5176094,0.00220305,0.0,0.1829985,0.0124146,0.0005377,G
GBW07121,58.5602382,17.00567925,2.0745264,2.51845285,2.93057615,9.0785477,2.14519595,0.00244245,0.00026505,0.04157295,0.0038228,0.1996368,0.0,0.0,0.4199285,0.019114,0.0,G
GBW07122,45.44022045,14.8501777,10.1988637,9.4196642,0.56014755,3.67386185,9.8276151,0.01447135,0.00726275,0.1602308,0.0084189,0.63338495,0.0,0.0,0.19698725,0.00869345,0.0,G
GBW07125,69.78281715,14.19729495,0.1640954,0.0977987,7.2472384,2.83121565,0.1768273,0.0004389,0.00032965,0.0076836,0.00170145,0.41847025,0.0,0.0,0.06212525,0.01108555,0.0008778,G
GBW07141,54.00707155,5.7832941,7.1368921,18.57346235,0.7932652,1.6451036,6.0353367,0.00022705,0.00045315,0.9495364,0.03095955,0.0,0.00521645,0.0390108,0.0,0.0,0.00017005,G
GBW07145,51.35206855,13.46277585,6.0395946,4.61036235,1.80153535,3.9170799,13.4861601,0.08538885,0.0291745,0.0982053,0.006802,0.00494665,0.10534455,0.0,0.0,0.0,0.0005624,G
GBW07405,54.35870835,26.2984757,9.81932255,0.11009455,1.97840255,0.24050485,0.93816205,0.01435165,0.0136686,0.1538335,0.04752945,0.816449,0.00422465,0.0,0.13966805,0.0501391,0.01646445,G
GBW07407,36.42656345,38.42819255,15.73141575,0.19042085,0.28429225,0.1718075,0.4297192,0.0528276,0.01024385,0.21693535,0.0145293,2.82551375,0.03146875,0.0,0.16725415,0.01834545,0.00046835,G
GBW07840,2.9316753,9.04807265,63.0519256,1.1974332,0.0436715,0.1392415,5.1873002,0.0,0.01837395,0.2308348,0.05244665,11.0813643,0.07123195,0.0,1.9464284,0.0,0.0,G
