Intensity,Wavelength (?),Aki,Energy,Configurations,Terms,J,g
,,(108s-1),Levels (cm -1 ),,,,
150,1741.547,0.939,0,3d9,2D,5月2日,6
150,1741.547,0.939,57420.16,3d8(3F)4p,2D～,5月2日,6
,,,,,,,
,,,,,,,
300,2174.666,1.77,9330.04,3d8(3F)4s,4F,7月2日,8
300,2174.666,1.77,55299.65,3d8(3F)4p,2G～,9月2日,10
700,2206.715,1.66,10115.66,3d8(3F)4s,4F,5月2日,6
700,2206.715,1.66,55417.83,3d8(3F)4p,4F～,7月2日,8
1000,2216.482,3.4,8393.9,3d8(3F)4s,4F,9月2日,10
1000,2216.482,3.4,53496.49,3d8(3F)4p,4G～,11月2日,12
300,2270.214,1.56,9330.04,3d8(3F)4s,4F,7月2日,8
300,2270.214,1.56,53365.17,3d8(3F)4p,4G～,9月2日,10
150,2316.039,2.88,8393.9,3d8(3F)4s,4F,9月2日,10
150,2316.039,2.88,51557.85,3d8(3F)4p,4D～,7月2日,8
