Unnamed: 0,Unnamed: 1,(108s-1),Levels (cm -1 ),Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,conflict_elem
140,2116.67,0.341,0.0,4f14(1S)6s,2S,1月2日,2,,
140,2116.67,0.341,47228.96,4f13(2F～5/2)5d6s(1D),1[1/2]～,1月2日,2,,
150,2126.74,0.495,0.0,4f14(1S)6s,2S,1月2日,2,N,
150,2126.74,0.495,47005.46,4f13(2F～5/2)5d6s(1D),1[3/2]～,3月2日,4,N,
50,2185.71,0.316,0.0,4f14(1S)6s,2S,1月2日,2,N,
50,2185.71,0.316,45737.29,4f13(2F～7/2)5d2(3F),～,3月2日,4,N,
40,2224.46,0.479,0.0,4f14(1S)6s,2S,1月2日,2,N,
40,2224.46,0.479,44940.61,4f13(2F～5/2)5d6s(3D),～,3月2日,4,N,
60,2653.75,3.9,21418.75,4f13(2F～)6s2,2F～,7月2日,8,,
60,2653.75,3.9,59090.13,4f13(2F～7/2)6s6p(1P～1), ,7月2日,8,,
70,2750.477,3.2,21418.75,4f13(2F～)6s2,2F～,7月2日,8,N,Fe
70,2750.477,3.2,57765.32,4f13(2F～7/2)6s6p(1P～1),"(7/2,1)",9月2日,10,N,Fe
200,2891.384,0.342,0.0,4f14(1S)6s,2S,1月2日,2,,
200,2891.384,0.342,34575.37,4f13(2F～7/2)5d6s(1D),1[3/2]～,3月2日,4,,
110,2970.564,0.261,0.0,4f14(1S)6s,2S,1月2日,2,N,
110,2970.564,0.261,33653.86,4f13(2F～7/2)5d6s(3D),3[3/2]～,1月2日,2,N,
1000,3289.37,1.62,0.0,4f14(1S)6s,2S,1月2日,2,,
1000,3289.37,1.62,30392.23,4f14(1S)6p,2P～,3月2日,4,,
1000,3694.19,1.23,0.0,4f14(1S)6s,2S,1月2日,2,,
1000,3694.19,1.23,27061.82,4f14(1S)6p,2P～,1月2日,2,,
